step,total_loss,policy_loss,value_loss,value_prefix_loss,lr,game_score_min,game_score_max,game_score_med,game_score_mean,winrate_mean,game_lines_cleared,game_count,ram_usage_mb,gpu_usage_pct,cpu_usage_pct,io_usage,disk_usage_pct,vram_usage_mb,mcts_depth_mean,mcts_search_time_mean
0,0.39133936166763306,5.798394680023193,0.8200627565383911,6.024284362792969,0.0003,61,206,78,107,54,1,6,61217.3,7,78.526184,0,88.12513928059825,849,6.9767776,8590.042
1,0.2625013291835785,5.743125915527344,0.8139016032218933,4.412327766418457,0.0003,61,206,78,107,54,1,6,42498.754,7,89.194145,0,88.12517532780103,854,6.9767776,8590.042
2,0.2419869750738144,4.846316814422607,0.8095322251319885,2.767829418182373,0.0003,61,206,78,107,54,1,6,42361.67,0,84.68939,0,88.12522167420461,853,6.9767776,8590.042
3,0.2714402675628662,4.302146911621094,0.7382674813270569,2.133798122406006,0.0003,61,206,78,107,54,1,6,42196.71,11,85.00991,0,88.12534783941435,854,6.9767776,8590.042
4,0.27879443764686584,4.934730052947998,0.731472909450531,2.1619091033935547,0.0003,61,206,78,107,54,1,6,42365.51,9,84.64209,0,88.12534011501376,854,6.9767776,8590.042
step,total_loss,policy_loss,value_loss,value_prefix_loss,lr,game_score_min,game_score_max,game_score_med,game_score_mean,winrate_mean,game_lines_cleared,game_count,ram_usage_mb,gpu_usage_pct,cpu_usage_pct,io_usage,disk_usage_pct,vram_usage_mb,mcts_depth_mean,mcts_search_time_mean
0,0.38368794322013855,5.736548900604248,0.8165930509567261,6.0750226974487305,0.0003,62,201,109,110.333336,55.666668,1,6,40735.09,0,76.3417,0,88.19187295214876,864,6.8945656,9109.972
1,0.3030881881713867,4.485158443450928,0.7204146385192871,3.1195156574249268,0.0003,62,201,109,110.333336,55.666668,1,6,40310.867,9,85.24496,0,88.19188582614976,863,6.8945656,9109.972
2,0.29212698340415955,4.605567455291748,0.7470032572746277,2.6681792736053467,0.0003,62,201,109,110.333336,55.666668,1,6,43790.332,8,85.91849,0,88.19201456615968,870,6.8945656,9109.972
step,total_loss,policy_loss,value_loss,value_prefix_loss,lr,game_score_min,game_score_max,game_score_med,game_score_mean,winrate_mean,game_lines_cleared,game_count,ram_usage_mb,gpu_usage_pct,cpu_usage_pct,io_usage,disk_usage_pct,vram_usage_mb,mcts_depth_mean,mcts_search_time_mean
0,0.37204790115356445,5.574659824371338,0.807070255279541,5.705927848815918,0.0003,56,226,69,101,51,1,6,36340.227,8,54.294224,0,88.73230291545914,658,6.888405,5076.2217
1,0.34625548124313354,5.774694442749023,0.825971245765686,4.537030220031738,0.0003,56,226,69,101,51,1,6,36338.082,0,81.67373,0,88.73226171865596,657,6.888405,5076.2217
2,0.22716304659843445,5.089191913604736,0.8088690638542175,3.0554287433624268,0.0003,56,226,69,101,51,1,6,37066.016,8,81.77497,0,88.73306505631795,767,6.888405,5076.2217
3,0.2194826751947403,3.7159502506256104,0.6405592560768127,1.8373148441314697,0.0003,56,226,69,101,51,1,6,38547.793,24,82.53521,0,88.6692640821938,919,6.888405,5076.2217
4,0.2246786653995514,5.377883434295654,0.676673173904419,2.5420172214508057,0.0003,56,226,69,101,51,1,6,38307.12,27,82.24712,0,88.66948551501089,950,6.888405,5076.2217
step,total_loss,policy_loss,value_loss,value_prefix_loss,lr,game_score_min,game_score_max,game_score_med,game_score_mean,winrate_mean,game_lines_cleared,game_count,ram_usage_mb,gpu_usage_pct,cpu_usage_pct,io_usage,disk_usage_pct,vram_usage_mb,mcts_depth_mean,mcts_search_time_mean
0,0.2706828713417053,4.664028167724609,0.7977386713027954,4.780999183654785,0.0003,53,104,66,70.42857,35.714287,0,6,62018.254,0,56.130123,0,61.612527201154855,680,7.212065,3533.683
