step,total_loss,policy_loss,value_loss,value_prefix_loss,lr,game_score_min,game_score_max,game_score_med,game_score_mean,winrate_mean,game_lines_cleared,game_count,ram_usage_mb,gpu_usage_pct,cpu_usage_pct,io_usage,disk_usage_pct,vram_usage_mb,mcts_depth_mean,mcts_search_time_mean
0,0.21881228685379028,3.7091307640075684,0.6757872104644775,3.553420066833496,0.0003,67,117,92,90.125,45.5625,0,7,16283.973,4,36.134495,0,88.34773590737825,831,4.8257484,61.735184
1,0.3078575134277344,5.729381084442139,0.7875522971153259,5.398019313812256,0.0003,67,117,92,90.125,45.5625,0,8,16414.07,0,60.285133,0,88.34774105697866,831,4.8257484,61.735184
2,0.30398568511009216,4.440672874450684,0.7486618161201477,3.7677223682403564,0.0003,67,117,92,90.125,45.5625,0,8,16450.527,0,60.341125,0,88.34774620657905,831,4.8257484,61.735184
3,0.328703373670578,5.248740196228027,0.7316075563430786,4.412081718444824,0.0003,57,117,89,86.44444,43.72222,0,8,16432.21,0,60.017788,0,88.34777452938124,831,4.8355856,101.67676
4,0.30170461535453796,4.853769779205322,0.698798418045044,3.7995970249176025,0.0003,57,117,89,86.44444,43.72222,0,9,16475.27,3,60.211002,0,88.34777452938124,831,4.8355856,101.67676
step,total_loss,policy_loss,value_loss,value_prefix_loss,lr,game_score_min,game_score_max,game_score_med,game_score_mean,winrate_mean,game_lines_cleared,game_count,ram_usage_mb,gpu_usage_pct,cpu_usage_pct,io_usage,disk_usage_pct,vram_usage_mb,mcts_depth_mean,mcts_search_time_mean
0,0.3683870732784271,5.476799011230469,0.8201240301132202,5.517221927642822,0.0003,60,101,66,76.14286,38.57143,0,7,23907.566,6,66.27472,0,88.12458054895512,827,4.908583,599.6532
1,0.28304222226142883,5.681118011474609,0.7872610092163086,5.2497477531433105,0.0003,60,101,66,76.14286,38.57143,0,7,23742.18,0,70.98887,0,88.12458569855552,827,4.908583,599.6532
2,0.30507218837738037,4.564955234527588,0.706615686416626,3.868854284286499,0.0003,60,101,66,76.14286,38.57143,0,7,23726.07,4,69.54297,0,88.12458569855552,827,4.908583,599.6532
3,0.3337929844856262,5.31096076965332,0.7615927457809448,4.394679546356201,0.0003,60,101,66,76.14286,38.57143,0,7,23795.855,4,69.51499,0,88.12458827335573,827,4.908583,599.6532
4,0.29366421699523926,4.571625709533691,0.694620668888092,3.734938859939575,0.0003,60,101,66,76.14286,38.57143,0,7,23408.434,7,70.67906,0,88.12459342295612,826,4.908583,599.6532
